runtime,theta,theta,theta,theta,theta,theta,theta,theta,speed,speed,speed,speed,speed,speed,speed,speed,tau,tau,tau,tau,tau,tau,tau,tau,torque,torque,torque,torque,torque,torque,torque,torque,thread_timer,temp,temp,temp,temp,temp,temp,temp,temp
190,-0.132881,1.925576,0.199684,1.373415,-0.150405,0.292384,-0.176461,2.638725,0.228832,4.349748,0.254042,4.260542,-0.417909,-2.971908,-0.425666,2.994694,33.080193,-62.5,33.080193,-62.5,33.080193,-62.5,33.080193,-62.5,25,51,33,33,-19,-10,-16,12,9.966869,26,25,26,26,27,27,27,27
200,-0.1296,1.97673,0.202986,1.424697,-0.172125,0.153111,-0.198991,2.779191,0.360701,4.60573,0.345187,4.611548,-0.524568,-3.01845,-0.542991,3.016026,32.053272,-62.5,32.053272,-62.5,32.053272,-62.5,32.053272,-62.5,19,46,29,43,-18,-12,-16,8,10.039057,26,25,26,26,27,27,27,27
210,-0.126042,2.018605,0.206661,1.465145,-0.191716,0.046297,-0.218507,2.884098,0.424697,4.830684,0.473178,4.782202,-0.603108,-3.010693,-0.606987,3.00633,35.32032,-62.5,35.32032,-62.5,35.32032,-62.5,35.32032,-62.5,10,36,21,43,-18,-18,-11,18,10.012438,26,25,26,26,27,27,27,27
220,-0.120822,2.074393,0.212808,1.521657,-0.221745,-0.089971,-0.249368,3.022359,0.446029,4.852015,0.552688,4.904375,-0.701525,-3.000997,-0.705404,2.958333,45.762352,-62.5,45.762352,-62.5,45.762352,-62.5,45.762352,-62.5,36,30,31,38,-17,-8,-18,9,9.949437,26,25,26,26,27,27,27,27
230,-0.116668,2.114916,0.217229,1.563458,-0.246918,-0.193366,-0.274891,3.120353,0.54687,4.81323,0.510024,4.910193,-0.772308,-3.016026,-0.783944,2.991785,51.363106,-62.5,51.363106,-62.5,51.363106,-62.5,51.363106,-62.5,24,25,29,26,-15,-12,-21,14,9.897204,26,25,26,26,27,27,27,27
240,-0.110031,2.16346,0.223471,1.612183,-0.28025,-0.311898,-0.309598,3.243273,0.750492,4.925707,0.72916,4.855894,-0.892057,-2.995664,-0.9226,3.009238,54.337749,-62.5,54.337749,-62.5,54.337749,-62.5,54.337749,-62.5,31,34,31,35,-23,-15,-18,23,10.054521,26,25,26,26,27,27,27,27
250,-0.102457,2.211833,0.23178,1.659822,-0.318216,-0.429822,-0.348384,3.358514,0.851333,4.898558,0.878482,4.797716,-1.043804,-2.978695,-1.061257,2.966575,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,41,22,37,36,-25,-4,-26,6,9.998052,26,25,26,26,27,27,27,27
260,-0.092742,2.260963,0.241421,1.707045,-0.363681,-0.548163,-0.393999,3.477855,1.128646,4.919889,1.101497,4.809352,-1.192642,-3.014571,-1.231427,3.010693,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,28,31,29,26,-26,-17,-26,9,9.971175,26,25,26,26,27,27,27,27
270,-0.080236,2.311031,0.254204,1.75658,-0.41703,-0.672841,-0.450383,3.601937,1.336146,4.809352,1.320632,4.770566,-1.397718,-2.990331,-1.420504,2.971908,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,38,23,46,24,-30,-12,-28,13,10.005549,26,25,26,26,27,27,27,27
280,-0.065684,2.35884,0.268755,1.803729,-0.476003,-0.789339,-0.509857,3.715899,1.555282,4.803534,1.601824,4.855894,-1.595037,-2.991785,-1.618793,2.934577,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,47,23,38,32,-32,-5,-27,7,43.755154,26,25,26,26,27,27,27,27
290,-0.065684,2.35884,0.268755,1.803729,-0.476003,-0.789339,-0.509857,3.715899,1.555282,4.803534,1.601824,4.855894,-1.595037,-2.991785,-1.618793,2.934577,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,47,23,38,32,-32,-5,-27,7,2.729427,26,25,26,26,27,27,27,27
300,0.046307,2.602061,0.383346,2.04598,-0.195497,-0.691974,-0.241506,3.616808,2.827433,4.84038,2.949606,4.685239,-2.531212,-2.962696,-2.620418,2.950576,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,38,22,30,26,-28,-11,-38,10,43.72583,26,25,26,26,27,27,27,27
310,0.054158,2.616655,0.392252,2.060127,-0.222651,-0.72472,-0.271866,3.650726,2.854583,4.883043,2.961242,4.696875,-2.612176,-2.974332,-2.657749,2.954455,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,38,28,41,39,-35,-6,-25,5,43.536987,26,25,26,26,27,27,27,27
320,0.204158,2.825852,0.549293,2.26959,-0.024096,-0.546544,-0.066281,3.470856,4.010379,4.846198,4.126734,4.834562,-2.897247,-2.99324,-2.856037,2.982574,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,49,27,29,32,-11,-15,-9,11,42.74052,26,25,26,26,27,27,27,27
330,0.396556,3.03539,0.74724,2.476326,0.171838,-0.363435,0.133179,3.284925,4.718207,4.84038,4.824866,4.84038,-2.897247,-2.989361,-2.881248,2.973362,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,24,24,48,26,-14,-8,-9,12,43.284721,26,25,26,26,27,27,27,27
340,0.558209,3.246738,0.919973,2.687547,0.416337,-0.183725,0.382015,3.102765,2.49776,4.989702,2.75762,4.846198,-2.08082,-3.052872,-2.106515,2.998573,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-7,32,-6,23,18,-10,23,3,43.043072,26,25,26,26,27,27,27,27
350,0.684443,3.456403,1.056711,2.895316,0.708156,-0.00279,0.674493,2.920179,3.440238,4.733721,3.663252,4.834562,-2.736288,-2.966575,-2.737258,2.943789,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,21,28,46,22,-29,-4,-29,9,45.605934,26,25,26,26,27,27,27,27
360,0.783885,3.668636,1.1703,3.105631,1.011074,0.176174,0.97363,2.741246,1.021987,4.974188,1.442806,4.834562,-1.694909,-3.036873,-1.739996,3.00633,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,0,32,-16,26,20,-10,26,12,43.510452,26,25,26,26,27,27,27,27
370,0.784929,3.892171,1.182603,3.328815,0.821074,0.320646,0.766948,2.589457,-0.628319,4.894679,-0.46736,4.883043,-0.435363,-3.016026,-0.535234,3.011662,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-29,37,-43,28,21,-3,22,13,43.311806,26,25,26,26,27,27,27,27
380,0.79327,4.105629,1.195589,3.538214,0.68505,0.497586,0.62188,2.414466,0.851333,4.81323,0.925025,4.888861,-1.222215,-3.010693,-1.251304,2.975786,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,35,27,36,34,-28,-13,-28,18,43.700146,26,25,26,26,27,27,27,27
390,0.790213,4.28194,1.197389,3.714994,0.550699,0.720205,0.478389,2.186158,-0.680678,2.891429,-0.628319,2.811919,-0.203622,-2.223356,-0.27295,2.191358,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-47,-6,-45,-9,24,29,25,-19,2.900992,26,25,26,26,27,27,27,27
400,0.735203,4.427445,1.143892,3.855844,0.59919,0.987278,0.516089,1.911043,-1.772479,3.870752,-1.751147,3.711734,0.681648,-2.831797,0.642863,2.790588,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,-38,37,-41,46,31,-30,29,32,43.515888,26,25,26,26,27,27,27,27
410,0.730079,4.438066,1.139055,3.866667,0.607158,0.952933,0.523663,1.943139,-1.751147,3.812575,-1.741451,3.754397,0.676315,-2.877369,0.653529,2.769256,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-2,19,-5,12,0,-2,0,5,3.196228,26,25,26,26,27,27,27,27
420,0.635079,4.54864,1.043213,3.973917,0.790032,1.245316,0.702744,1.63677,-2.672293,1.281847,-2.726592,1.186824,1.45638,-1.721573,1.432624,1.632368,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,-38,-12,-46,1,36,22,32,-18,2.780775,26,25,26,26,27,27,27,27
430,0.62612,4.552486,1.034095,3.977443,0.809771,1.222754,0.720769,1.657372,-2.629629,1.053015,-2.662597,0.946356,1.45638,-1.6537,1.425837,1.555282,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,-5,3,-7,-8,-2,20,-1,-21,3.237295,26,25,26,26,27,27,27,27
440,0.618897,4.555107,1.026819,3.979808,0.825782,1.204325,0.737238,1.673926,-2.598601,0.824183,-2.629629,0.814487,1.455411,-1.568372,1.436503,1.476258,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,-37,-1,-23,-10,16,17,18,-21,3.322031,26,25,26,26,27,27,27,27
450,0.611238,4.557343,1.018659,3.982248,0.843977,1.185758,0.755912,1.692685,-2.507456,0.797034,-2.586966,0.808669,1.440381,-1.54704,1.425837,1.445714,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,9,27,-12,25,-3,-10,-5,11,2.994205,26,25,26,26,27,27,27,27
460,0.602492,4.56055,1.009988,3.985262,0.863546,1.164101,0.774,1.71154,-2.332923,0.946356,-2.400797,0.90951,1.359418,-1.559161,1.36572,1.465592,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,-3,29,1,30,-13,-24,-11,26,3.291804,26,25,26,26,27,27,27,27
470,0.595909,4.563607,1.003191,3.988128,0.8788,1.145831,0.789915,1.729543,-2.123484,1.064651,-2.193297,0.96381,1.312875,-1.605703,1.302209,1.52183,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,6,30,3,33,-20,-28,-18,28,3.225398,26,25,26,26,27,27,27,27
